ano,nivel1,nivel2,nivel3,nivel4,nivel5,nivel6,valor_previsto,valor_arrecadado
2016,RECEITAS DE CONTRIBUICOES,CONTRIBUICOES SOCIAIS,CONTRIBUICOES SOCIAIS,CONTRIBUICOES PARA O REGIME PROPRIO DE PREVIDENCIA DO SERVIDOR PUBLICO,CONTRIBUICAO DE SERVIDOR ATIVO CIVIL,CONTRIBUICAO DE SERVIDOR ATIVO CIVIL - PODER LEGISLATIVO (CMRJ),16762813.0,14223635.96
2016,RECEITAS DE CONTRIBUICOES,CONTRIBUICOES SOCIAIS,CONTRIBUICOES SOCIAIS,CONTRIBUICOES PARA O REGIME PROPRIO DE PREVIDENCIA DO SERVIDOR PUBLICO,CONTRIBUICAO DE SERVIDOR ATIVO CIVIL,CONTRIBUICAO DE SERVIDOR ATIVO CIVIL - PODER LEGISLATIVO (TCMRJ),14411687.0,7837724.54
2016,RECEITAS DE CONTRIBUICOES,CONTRIBUICOES SOCIAIS,CONTRIBUICOES SOCIAIS,CONTRIBUICOES PARA O REGIME PROPRIO DE PREVIDENCIA DO SERVIDOR PUBLICO,CONTRIBUICOES DO SERVIDOR INATIVO PARA O REGIME PROPRIO DE PREVIDENCIA,CONTRIBUICAO DE SERVIDOR INATIVO CIVIL - PODER EXECUTIVO,18200.0,36252.87
2016,RECEITAS DE CONTRIBUICOES,CONTRIBUICOES SOCIAIS,CONTRIBUICOES SOCIAIS,CONTRIBUICOES PARA O REGIME PROPRIO DE PREVIDENCIA DO SERVIDOR PUBLICO,CONTRIBUICOES DO SERVIDOR INATIVO PARA O REGIME PROPRIO DE PREVIDENCIA,CONTRIBUICAO DE SERVIDOR INATIVO CIVIL - PODER LEGISLATIVO (CMRJ),4500.0,0.0
2016,RECEITAS DE CONTRIBUICOES,CONTRIBUICOES SOCIAIS,CONTRIBUICOES SOCIAIS,CONTRIBUICOES PARA O REGIME PROPRIO DE PREVIDENCIA DO SERVIDOR PUBLICO,CONTRIBUICOES DO SERVIDOR INATIVO PARA O REGIME PROPRIO DE PREVIDENCIA,CONTRIBUICAO DE SERVIDOR INATIVO CIVIL - PODER LEGISLATIVO (TCMRJ),1700.0,0.0
2016,RECEITAS DE CONTRIBUICOES,CONTRIBUICOES SOCIAIS,CONTRIBUICOES SOCIAIS,OUTRAS CONTRIBUICOES,CONTRIBUICAO PARA O RPPS - PESSOAL CEDIDO/AFASTADO,CONTRIBUICAO PARA O RPPS - PESSOAL CEDIDO/AFASTADO,43200.0,24569.46
2016,RECEITAS DE CONTRIBUICOES,CONTRIBUICOES SOCIAIS,CONTRIBUICOES SOCIAIS,OUTRAS CONTRIBUICOES,CONTRIBUICAO ASSIST. MEDICA SERVIDORES VINCULADOS AO REGIME DE PREVIDENCIA PROPRIO,CONTRIBUICAO DOS SERVIDORES ATIVOS,49482500.0,33915019.56
2016,RECEITAS DE CONTRIBUICOES,CONTRIBUICOES SOCIAIS,CONTRIBUICOES SOCIAIS,OUTRAS CONTRIBUICOES,CONTRIBUICAO ASSIST. MEDICA SERVIDORES VINCULADOS AO REGIME DE PREVIDENCIA PROPRIO,CONTRIBUICAO DOS SERVIDORES INATIVOS,26644430.0,17558320.47
2016,RECEITAS DE CONTRIBUICOES,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA MUNICIPAL,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA MUNICIPAL,287993334.0,182937117.01
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,FOROS,FOROS,FOROS,FOROS,4600000.0,927722.28
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,FOROS,FOROS,FOROS,REMISSAO DE FOROS,4300000.0,1788266.28
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,ALUGUEIS,ALUGUEIS DE IMOVEIS URBANOS,ALUGUEIS RECEBIDOS - EMPRESAS,ALUGUEIS RECEBIDOS - RIOTUR,397294.0,649200.0
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,ALUGUEIS,ALUGUEIS DE IMOVEIS URBANOS,ALUGUEIS RECEBIDOS - EMPRESAS,ALUGUEIS RECEBIDOS - RIOLUZ,5520000.0,4030384.01
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,ALUGUEIS,ALUGUEIS DE IMOVEIS URBANOS,ALUGUEIS RECEBIDOS - EMPRESAS,ALUGUEIS RECEBIDOS - RIOURBE C/ CONTRATO,671155.0,557353.93
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,ALUGUEIS,ALUGUEIS DE IMOVEIS URBANOS,ALUGUEIS RECEBIDOS - EMPRESAS,ALUGUEIS RECEBIDOS - COMLURB,288166.0,206972.9
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,ALUGUEIS,ALUGUEIS DE IMOVEIS URBANOS,ALUGUEIS RECEBIDOS - AUTARQUIAS E FUNDACOES,ALUGUEIS RECEBIDOS - RIOZOO,88986.0,30792.88
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,ALUGUEIS,ALUGUEIS DE IMOVEIS URBANOS,ALUGUEIS RECEBIDOS - AUTARQUIAS E FUNDACOES,ALUGUEIS RECEBIDOS - PREVI-RIO,0.0,0.0
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,ALUGUEIS,ALUGUEIS DE IMOVEIS URBANOS,ALUGUEIS RECEBIDOS - AUTARQUIAS E FUNDACOES,ALUGUEIS RECEBIDOS - PLANETARIO,1056336.0,735127.3
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,ALUGUEIS,ALUGUEIS DE IMOVEIS URBANOS,ALUGUEIS RECEBIDOS - AUTARQUIAS E FUNDACOES,ALUGUEIS RECEBIDOS - CIDADES DAS ARTES,1989884.0,424591.75
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,LAUDEMIOS,LAUDEMIOS,LAUDEMIOS,LAUDEMIOS,92826053.0,11255048.98
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,OUTRAS RECEITAS IMOBILIARIAS,OUTRAS RECEITAS IMOBILIARIAS,OUTRAS RECEITAS IMOBILIARIAS,REMUNERACAO PROVISORIA DE OCUPACAO - F/SPA,138864244.0,6660562.1
2016,RECEITAS PATRIMONIAIS,RECEITAS IMOBILIARIAS,OUTRAS RECEITAS IMOBILIARIAS,OUTRAS RECEITAS IMOBILIARIAS,OUTRAS RECEITAS IMOBILIARIAS,OUTRAS RECEITAS IMOBILIARIAS,380985.0,5382.57
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,DIVIDENDOS,DIVIDENDOS,DIVIDENDOS - ADM. DIRETA,COMPANHIA DISTRIBUIDORA DE GAS DO RJ - CEG,59402.0,26044.0
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,DIVIDENDOS,DIVIDENDOS,DIVIDENDOS - ADM. DIRETA,CONTAX PARTICIPACOES S.A.,855.0,0.0
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,DIVIDENDOS,DIVIDENDOS,DIVIDENDOS - AUTARQUIAS E FUNDACOES,DIVIDENDOS - FUNPREVI,43500.0,155794.9
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,JUROS DE TITULO DE RENDA,JUROS DE TITULO DE RENDA NAO VINCULADOS,JUROS DE TITULO DE RENDA DE RECURSOS NAO VINCULADOS - ADM. DIRETA,JUROS DE TITULO DE RENDA - RECURSOS DO TESOURO,109394067.0,0.0
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,JUROS DE TITULO DE RENDA,TITULOS DE RESPONSABILIDADE DO GOVERNO FEDERAL,TITULOS DE RESPONSABILIDADE DO GOVERNO FEDERAL - VINCULADOS AO RPPS,RENDIMENTOS DE APLICACAO FINANCEIRA - PREVI-RIO,13643400.0,7489339.95
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,JUROS DE TITULO DE RENDA,TITULOS DE RESPONSABILIDADE DO GOVERNO FEDERAL,TITULOS DE RESPONSABILIDADE DO GOVERNO FEDERAL - VINCULADOS AO RPPS,RENDIMENTOS DE APLICACOES FINANCEIRAS - FUNPREVI,32290000.0,2214980.39
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,FUNDOS DE INVESTIMENTO EM COTAS - RENDA FIXA,RECURSOS DE OUTROS FUNDOS ESPECIAIS,RECURSOS DO FASS,0.0,692745.83
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,FUNDOS DE INVESTIMENTO EM COTAS - RENDA FIXA,RECURSOS DE OUTROS FUNDOS ESPECIAIS,RECURSOS DO FECMRJ,8064349.0,5693822.93
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,FUNDOS DE INVESTIMENTO EM COTAS - RENDA FIXA,RECURSOS DE OUTROS FUNDOS ESPECIAIS,RECURSOS DA CAMARA MUNICIPAL DO RIO DE JANEIRO,0.0,6639009.6
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,FUNDOS DE INVESTIMENTO EM COTAS - RENDA FIXA,RECURSOS DE OUTROS FUNDOS ESPECIAIS,RECURSOS DO FEPT,89930.0,71272.37
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,FUNDOS DE INVESTIMENTO EM COTAS - RENDA FIXA,OUTROS RECURSOS VINCULADOS,RESERVA TECNICA - DEPOSITOS JUDICIAIS,39648590.0,59444699.89
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - RECURSOS DO TESOURO,300922379.0,215806296.03
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - RECURSOS DO TESOURO - LEI 5553/2013,2803084.0,2913115.54
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - FPJ,65606.0,52852.18
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - RIOZOO,322723.0,32998.3
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - PLANETARIO,83910.0,117960.99
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - GEO RIO,38400.0,33458.46
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - IPP,13212.0,7111.38
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - COMLURB,1200000.0,2197086.91
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - IPLANRIO,135000.0,54529.63
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - RIOURBE,570500.0,469433.38
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - RIOLUZ,549732.0,257724.69
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - MULTIRIO,216856.0,151635.09
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - CET RIO,773220.0,321621.64
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - RIOFILME,1227446.0,240864.52
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - RIOTUR,673602.0,393230.72
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - EMAG,266442.0,350130.23
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - GUARDA MUNICIPAL,545979.0,133757.04
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - EMPRESA OLIMPICA,0.0,1901.25
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - FUNDACAO CIDADE DAS ARTES,120000.0,91766.04
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - RIOCENTRO,98000.0,137282.33
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - RIOSAUDE,6000.0,1233992.77
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS DA REGULACAO/FISCALIZACAO DA AP-5 - RIOAGUAS,0.0,828452.66
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - RIOAGUAS,0.0,5442.65
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS NAO VINCULADOS,REMUNERACAO DE OUTROS DEPOSITOS DE RECURSOS NAO VINCULADOS,RENDIMENTOS DE APLICACOES FINANCEIRAS - CONTRAPARTIDA REGULARIZACAO DE OBRAS,0.0,3011229.64
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS VINCULADOS,RECEITA DE REMUNERACAO DE DEPOSITOS BANCARIOS DE RECURSOS VINCULADOS - CONVENIOS DA ADM DI,CONV. 009/2015/SMA/PREVIRIO-MANUTENCAO DA FOLHA DE PAGAMENTO DOS SERV. INATIVOS-ERGON-SMA,0.0,13529.33
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS VINCULADOS,RECEITA DE REMUNERACAO DE DEPOSITOS BANCARIOS DE RECURSOS VINCULADOS - CONVENIOS DA ADM DI,CONV.817143/2015 PROG. DE CAPACITACAO DOS SERV. DA GUARDA MUNICIPAL PARA OS GRANDES EVENTO,0.0,10970.8
2016,RECEITAS PATRIMONIAIS,RECEITAS DE VALORES MOBILIARIOS,REMUNERACAO DE DEPOSITOS BANCARIOS,REMUNERACAO DE DEPOSITOS DE RECURSOS VINCULADOS,RECEITA DE REMUNERACAO DE DEPOSITOS BANCARIOS DE RECURSOS VINCULADOS - CONVENIOS DA ADM DI,CONV. CR 0402.326-37/2012 - PAC CONTENCAO - ZONA OESTE,0.0,14.13
